Name,Id,Time,SURFACE_CODE,LAT,LON
Kara ,AU0607_13U ,2007-03-23 06:00,2,-16.2,124.5
Kara ,AU0607_13U ,2007-03-23 12:00,4,-16,123.9
Kara ,AU0607_13U ,2007-03-23 18:00,1,-15.8,123.1
Kara ,AU0607_13U ,2007-03-24 00:00,1,-16,121.7
Kara ,AU0607_13U ,2007-03-24 06:00,1,-16.2,120.7
Kara ,AU0607_13U ,2007-03-24 12:00,1,-16.2,119.3
Kara ,AU0607_13U ,2007-03-24 18:00,1,-16.3,118.1
Kara ,AU0607_13U ,2007-03-25 00:00,1,-16.4,117.5
Kara ,AU0607_13U ,2007-03-25 06:00,1,-16.5,116.8
Kara ,AU0607_13U ,2007-03-25 12:00,1,-16.6,116.1
Kara ,AU0607_13U ,2007-03-25 18:00,1,-17,115.8
Kara ,AU0607_13U ,2007-03-26 00:00,1,-17.6,115.4
Kara ,AU0607_13U ,2007-03-26 06:00,1,-18,115.2
Kara ,AU0607_13U ,2007-03-26 12:00,1,-18.3,115.5
Kara ,AU0607_13U ,2007-03-26 18:00,1,-18.4,116.1
Kara ,AU0607_13U ,2007-03-26 21:00,1,-18.4,116.3
Kara ,AU0607_13U ,2007-03-27 00:00,1,-18.5,116.9
Kara ,AU0607_13U ,2007-03-27 01:00,1,-18.53,117.07
Kara ,AU0607_13U ,2007-03-27 02:00,1,-18.57,117.23
Kara ,AU0607_13U ,2007-03-27 03:00,1,-18.6,117.4
Kara ,AU0607_13U ,2007-03-27 06:00,1,-18.7,118
Kara ,AU0607_13U ,2007-03-27 09:00,1,-18.8,118.7
Kara ,AU0607_13U ,2007-03-27 12:00,1,-18.9,119.4
Kara ,AU0607_13U ,2007-03-27 18:00,1,-19.4,120.3
Kara ,AU0607_13U ,2007-03-28 00:00,1,-19.4,121.2
Kara ,AU0607_13U ,2007-03-28 06:00,1,-18.8,121.3
Kara ,AU0607_13U ,2007-03-28 12:00,1,-18.3,121.4
Kara ,AU0607_13U ,2007-03-28 18:00,1,-18,121.5
Kara ,AU0607_13U ,2007-03-29 00:00,1,-17.9,121.4
Kara ,AU0607_13U ,2007-03-29 06:00,1,-17.9,121.3
Kara ,AU0607_13U ,2007-03-29 12:00,1,-17.8,120.9
Kara ,AU0607_13U ,2007-03-29 18:00,1,-17.6,120.5
Kara ,AU0607_13U ,2007-03-30 00:00,1,-17.5,120.1
AGNES ,AU195556_13U,1956-02-23 05:00,1,-17,175
AGNES ,AU195556_13U,1956-02-23 23:00,1,-17,175
AGNES ,AU195556_13U,1956-02-24 17:00,1,-17,175
AGNES ,AU195556_13U,1956-02-24 23:00,1,-17.4,175.2
AGNES ,AU195556_13U,1956-02-25 17:00,1,-18.5,175.5
AGNES ,AU195556_13U,1956-02-25 23:00,1,-18.9,175.3
AGNES ,AU195556_13U,1956-02-26 23:00,1,-20,174.5
AGNES ,AU195556_13U,1956-02-27 23:00,1,-20,173
AGNES ,AU195556_13U,1956-02-28 23:00,1,-21,169.7
AGNES ,AU195556_13U,1956-02-29 17:00,1,-21.3,166.5
AGNES ,AU195556_13U,1956-02-29 23:00,1,-20,166
AGNES ,AU195556_13U,1956-03-1 23:00,1,-19,162.5
AGNES ,AU195556_13U,1956-03-2 23:00,1,-19,158.5
AGNES ,AU195556_13U,1956-03-3 05:00,1,-19,157.5
AGNES ,AU195556_13U,1956-03-3 17:00,1,-19.2,156.5
AGNES ,AU195556_13U,1956-03-3 23:00,1,-19.4,155.5
AGNES ,AU195556_13U,1956-03-4 05:00,1,-19.5,154.5
AGNES ,AU195556_13U,1956-03-4 23:00,1,-20.5,151.5
AGNES ,AU195556_13U,1956-03-5 05:00,1,-20.5,150.8
AGNES ,AU195556_13U,1956-03-5 11:00,1,-20.2,149.5
AGNES ,AU195556_13U,1956-03-5 16:00,3,-20.2,148.8
AGNES ,AU195556_13U,1956-03-5 17:00,3,-20,148.6
AGNES ,AU195556_13U,1956-03-5 18:00,4,-20.1,148.4
AGNES ,AU195556_13U,1956-03-5 23:00,4,-19.5,148.1
AGNES ,AU195556_13U,1956-03-6 05:00,1,-19.2,146.8
AGNES ,AU195556_13U,1956-03-6 07:00,3,-19.2,146.7
AGNES ,AU195556_13U,1956-03-6 11:00,3,-18.5,145.9
AGNES ,AU195556_13U,1956-03-6 17:00,2,-18.4,145.1
AGNES ,AU195556_13U,1956-03-6 23:00,2,-19,143.5
AGNES ,AU195556_13U,1956-03-7 05:00,2,-19.4,143
BERTHA ,AU195859_04U,1959-01-4 01:00,1,-13.9,123.8
BERTHA ,AU195859_04U,1959-01-5 01:00,3,-15,125
BERTHA ,AU195859_04U,1959-01-5 22:00,2,-15,125.3
BERTHA ,AU195859_04U,1959-01-6 01:00,2,-15,125.5
BERTHA ,AU195859_04U,1959-01-7 01:00,2,-16.1,127.5
BERTHA ,AU195859_04U,1959-01-8 01:00,2,-17.1,128
BERTHA ,AU195859_04U,1959-01-8 03:00,2,-17.5,128.1
BERTHA ,AU195859_04U,1959-01-9 01:00,2,-16,126
BERTHA ,AU195859_04U,1959-01-9 06:00,2,-15.9,126.1
BERTHA ,AU195859_04U,1959-01-10 01:00,2,-15.8,126.6
BERTHA ,AU195859_04U,1959-01-10 12:00,2,-15.5,128
BERTHA ,AU195859_04U,1959-01-10 22:00,4,-14.8,129
BERTHA ,AU195859_04U,1959-01-10 23:30,3,-14.8,129.5
BERTHA ,AU195859_04U,1959-01-11 23:30,2,-17.1,135.5
BERTHA ,AU195859_04U,1959-01-12 23:00,2,-18,139.8
BERTHA ,AU195859_04U,1959-01-13 23:00,2,-18.7,141.6
BERTHA ,AU195859_04U,1959-01-14 05:00,2,-19.5,142
BERTHA ,AU195859_04U,1959-01-14 23:00,2,-18.8,139.9
BERTHA ,AU195859_04U,1959-01-15 05:00,2,-18.1,139.3
BERTHA ,AU195859_04U,1959-01-15 11:00,4,-17.9,140
BERTHA ,AU195859_04U,1959-01-15 23:00,1,-16.5,139.9
BERTHA ,AU195859_04U,1959-01-16 23:30,1,-15.5,137.3
BERTHA ,AU195859_04U,1959-01-17 17:00,1,-14.3,137.1
BERTHA ,AU195859_04U,1959-01-17 23:00,1,-15,138.1
BERTHA ,AU195859_04U,1959-01-18 21:30,1,-16.5,140.9
BERTHA ,AU195859_04U,1959-01-18 23:00,3,-16.3,141.2
BERTHA ,AU195859_04U,1959-01-19 05:00,2,-16.1,142
BERTHA ,AU195859_04U,1959-01-19 11:00,2,-16.5,142.6
BERTHA ,AU195859_04U,1959-01-19 17:00,2,-16,144.9
BERTHA ,AU195859_04U,1959-01-19 19:30,4,-16.3,145.3
BERTHA ,AU195859_04U,1959-01-19 23:00,1,-16.9,146
BERTHA ,AU195859_04U,1959-01-20 05:00,1,-16.9,149.2
BERTHA ,AU195859_04U,1959-01-20 11:00,1,-17,150.3
BERTHA ,AU195859_04U,1959-01-20 17:00,1,-17.5,152.5
BERTHA ,AU195859_04U,1959-01-20 23:00,1,-17.9,154.5
BERTHA ,AU195859_04U,1959-01-21 09:00,1,-17.1,159.3
BERTHA ,AU195859_04U,1959-01-21 17:00,1,-19,161.7
BERTHA ,AU195859_04U,1959-01-21 23:00,1,-21,161
BERTHA ,AU195859_04U,1959-01-22 09:00,1,-22.2,159.5
BERTHA ,AU195859_04U,1959-01-22 23:00,1,-21.4,159
BEATRICE ,AU195859_05U,1959-01-16 05:00,1,-14,165
BEATRICE ,AU195859_05U,1959-01-16 23:00,1,-17.8,164.5
BEATRICE ,AU195859_05U,1959-01-17 05:00,1,-19.7,165.4
BEATRICE ,AU195859_05U,1959-01-17 23:00,1,-20.2,164.7
